link_id;speed_limit;road_type
218780;60;1040
218778;60;1040
218777;60;1040
218774;60;1040
219413;60;1040
220733;60;1040
220732;60;1040
220731;60;1040
220729;60;1040
220728;60;1040
383535;60;1040
384155;60;1040
384153;60;1040
220790;60;1040
220789;60;1040
220788;60;1040
220787;60;1040
220784;60;1040
220722;60;1040
220721;60;1040
220720;60;1040
220858;50;1050
220857;40;1050
220726;60;1040
220725;60;1040
220779;60;1040
220768;60;1040
220771;60;1040
220773;60;1040
220774;60;1040
384156;60;1040
383537;60;1040
220791;60;1040
220793;60;1040
220794;60;1040
220795;60;1040
220796;60;1040
218767;50;1040
218768;70;1040
219393;70;1040
219394;70;1040
219374;50;1040
219382;50;1040
219379;60;1040
219378;60;1040
219377;60;1040
219376;70;1040
219375;70;1040
219436;70;1050
219435;40;1050
205138;40;1040
205117;50;1040
205115;50;1040
205114;50;1040
205110;70;1040
205109;70;1040
205107;70;1040
201700;50;1050
201686;40;1040
201673;52;1040
201672;50;1040
201671;50;1030
201062;70;1030
201061;70;1030
201060;70;1030
201058;70;1030
201057;70;1030
201053;80;1030
201051;80;1010
201052;80;1010
200304;80;1010
200256;80;1010
200257;80;1010
200258;80;1010
200259;80;1010
200260;50;1010
201041;100;1010
201042;100;1010
201043;100;1010
199646;100;1010
199647;130;1010
199648;130;1010
199649;130;1010
209169;130;1010
209168;100;1010
208489;80;1010
208490;40;1010
208564;80;1030
209172;80;1030
209173;80;1030
209260;50;1050
209235;50;1050
209202;50;1050
209203;50;1050
209205;40;1050
209207;60;1050
209209;60;1050
209230;60;1050
209231;40;1050
209243;40;1050
209245;50;1050
209246;40;1050
209188;80;1030
208563;80;1030
208562;80;1030
208502;80;1010
208501;40;1010
208529;100;1010
208528;100;1010
208527;100;1010
209171;100;1010
209170;130;1010
199609;130;1010
199611;130;1010
199612;100;1010
201039;100;1010
201040;100;1010
200286;80;1010
200289;70;1010
200276;70;1010
200278;50;1010
200279;40;1010
200280;40;1010
200299;100;1010
200301;100;1010
201070;70;1030
201064;70;1030
205169;70;1040
205160;70;1040
205149;70;1040
205145;70;1040
205143;70;1040
205141;70;1040
205135;40;1040
382898;50;1040
382899;50;1040
382900;60;1040
383562;60;1040
383560;60;1040
383552;50;1040
383577;60;1040
383591;60;1040
383592;60;1040
383593;60;1040
220785;60;1040
220767;60;1040
220770;60;1040
220772;60;1040
383543;60;1040
383544;60;1040
383546;60;1040
383547;60;1040
383579;60;1040
383581;60;1040
383567;60;1040
205118;50;1040
205116;50;1040
205112;50;1040
205108;70;1040
201699;50;1050
205164;70;1040
205159;70;1040
219403;60;1040
219407;60;1040
219410;60;1040
219411;60;1040
219389;60;1040
218769;60;1040
218770;60;1040
220734;60;1040
220786;60;1040
220775;60;1040
